Ruta,Repartidor,Vehículo,Clientes
DR0006,850006,11523787,TINO FRANKFURT
DR0006,850006,11523787,HOTEL IBIS
DR0006,850006,11523787,FAMILIAR BAR RESTAURANTE
DR0006,850006,11523787,CAN PRAT RESTAURANT
DR0006,850006,11523787,CAFETERIA ESCLAT
DR0006,850006,11523787,LA ROSA BAR
DR0006,850006,11523787,CANSALADERIA CAN MAGRET
DR0006,850006,11523787,LA CUPULA BAR
DR0006,850006,11523787,HOMER BAR GRANJA
DR0032,850014,11523786,GRANJA Ca LA MARÍA
DR0032,850014,11523786,BAR LA PETRA II
DR0032,850014,11523786,CAFETERIA GAUDEIX
DR0032,850014,11523786,MESON 20 P KA
DR0032,850014,11523786,CULTURAL LA FABRICA
DR0032,850014,11523786,Ca la Cisca
DR0032,850014,11523786,BAR TOLIN
DR0032,850014,11523786,BAR PARC DEL TENES
DR0032,850014,11523786,BAR LA GRANJA
DR0032,850014,11523786,CAMPO FUTBOL PARETS
DR0032,850014,11523786,CAN LITU'S
DR0032,850014,11523786,EL RACO DE LA PETRA
DR0032,850014,11523786,LA PARDITA
DR0032,850014,11523786,TRIVI´S BAR
DR0032,850014,11523786,RESTAURANTE EL SOL
DR0032,850014,11523786,RESTAURANTE MERITXELL
DR0032,850014,11523786,BAR CA LA MARI
DR0023,850013,11523785,DAHLIA PASTISSERIA
DR0023,850013,11523785,AKI MISMO
DR0023,850013,11523785,VIKELS
DR0023,850013,11523785,Bar 20 PA K
DR0023,850013,11523785,RESTAURANT GUST D'ASIA
DR0023,850013,11523785,La Tasca
DR0023,850013,11523785,BAR JALEY (PARETS)
DR0023,850013,11523785,BAR LOS EXTREMEÑOS
DR0023,850013,11523785,CAFETERIA LUISIANA
DR0023,850013,11523785,BONATAPA
DR0023,850013,11523785,LA PERGOLA
DR0023,850013,11523785,CAF# PARIS
DR0023,850013,11523785,FRANKFURT SANTA MARTA
DR0023,850013,11523785,BAR LOS GALLEGOS
DR0023,850013,11523785,BAR LAS COLUMNAS
DR0023,850013,11523785,BAR CERVECERIA JORDI
DR0054,855205,11523784,EL MORDISKITO MONTORNES
DR0054,855205,11523784,EL RECO DEL PLA
DR0054,855205,11523784,CRISTINA BAR
DR0054,855205,11523784,MARTU CITY
DR0054,855205,11523784,NOU HOLIDAYS
DR0054,855205,11523784,RAIGUER III
DR0054,855205,11523784,PARADIS GRANJA
DR0054,855205,11523784,BAR CABALLERO (OCAÑA)
DR0054,855205,11523784,(RESTAURANT) SPORT & HEALTH OXIGEN
DR0001,850012,11523833,bar cafeteria yaki
DR0001,850012,11523833,RESTAURANTE EL SOL
DR0001,850012,11523833,LA PLANCHA ÑAM ÑAM
DR0001,850012,11523833,PAPUA COLL DE LA MANYA
DR0001,850012,11523833,FLECA BRETCHA (CORRO D'AVALL)
DR0001,850012,11523833,BAR LA TABERNA
DR0001,850012,11523833,BAR LOS CAZADORES (GRANOLLERS)
DR0001,850012,11523833,CAFETERIA PANADERIA + QUE PA
DR0001,850012,11523833,RESTAURANTE SANT SADURNI
DR0001,850012,11523833,BAR LA TACITA DE PLATA
DR0001,850012,11523833,PUNTO
DR0001,850012,11523833,BAR EL TACO
DR0001,850012,11523833,BAR LOS AMIGOS
DR0001,850012,11523833,HG CERVECERIA
DR0010,850010,11523832,CASA TOI
DR0010,850010,11523832,LAPONIA CAFE
DR0010,850010,11523832,Bar Plata
DR0010,850010,11523832,FRANKFURT ARIES
DR0010,850010,11523832,TAPES GRANOLLERS PICA VINS
DR0010,850010,11523832,PAREDES 4
DR0010,850010,11523832,CAFE ORIENT EXPRESS
DR0010,850010,11523832,CAL FORNER
DR0010,850010,11523832,BAR CAN CERVANTES
DR0010,850010,11523832,BAR AMISTAD
DR0010,850010,11523832,BAR TALGO
DR0010,850010,11523832,BAR RESTAURANTE MORDISQUITO
DR0010,850010,11523832,AQUI MATEIX
DR0010,850010,11523832,SALA GRANOLLERS (TORRES) – CIRSA
DR0016,850001,11523831,EL MENÚ
DR0016,850001,11523831,BAR LOCALET
DR0016,850001,11523831,PURE COFFEE
DR0016,850001,11523831,Platillos
DR0016,850001,11523831,EL REFUGI D´EN CUCH
DR0016,850001,11523831,CAVANET
DR0016,850001,11523831,A VOCADOS
DR0016,850001,11523831,TRES TASSES
DR0016,850001,11523831,PA TONET
DR0016,850001,11523831,BAR MERCADO
DR0016,850001,11523831,BUSSINETS DE CUINA
DR0016,850001,11523831,GRANJA GROC
DR0016,850001,11523831,BINGO CASINO
DR0016,850001,11523831,BAR LA LOLA
DR0016,850001,11523831,CAFE SANT ROC
DR0016,850001,11523831,CAFE DE LA CORONA
DR0016,850001,11523831,CASA FONDA EUROPA
DR0016,850001,11523831,UDON GRANOLLERS
DR0017,850018,11523800,BAR BY DUNAS MOLLET
DR0017,850018,11523800,PETIT CAFE
DR0017,850018,11523800,RENFE NORD CANTINA
DR0017,850018,11523800,KAPHIY BRUNCH
DR0017,850018,11523800,BAR CRISTASOL  (Kebab Esquina)
DR0017,850018,11523800,BAR ALMANSA
DR0017,850018,11523800,BAR RESTAURANTE FRETES
DR0017,850018,11523800,GRACIELA PANADERIA-CAFETERIA
DR0017,850018,11523800,BAR EL DOFI
DR0017,850018,11523800,FAMILY GRANJA BAR
DR0017,850018,11523800,SABOR MANABITA (COSTAVERDE)
DR0017,850018,11523799,PITAPES BERENGUER
DR0017,850018,11523799,"PITAPES CALDERI 3 BRANQUES VALLES ,"
DR0017,850018,11523799,ANDALUCIA BAR RTE.(C.11 SETEMBRE)
DR0017,850018,11523799,CABAÑA DEL TIO TOM BAR
DR0038,850011,11523835,SUSHI HE GRANOLLERS
DR0038,850011,11523838,BAR CAFETERIA KALESSY
DR0038,850011,11523838,BAR XARANA GRANOLLERS
DR0038,850011,11523838,PIZZERIA MAYOR
