Ruta,Repartidor,Vehículo,Clientes
DR0054,855205,11534283,LA BONA TECA
DR0054,855205,11534283,BAR LA CUCA
DR0054,855205,11534283,LA PLAÇA BAR
DR0054,855205,11534283,CAN SALA
DR0054,855205,11534283,RTE. CA LA POLI
DR0054,855205,11534283,BAR CABALLERO (OCAÑA)
DR0054,855205,11534283,BAR 28
DR0054,855205,11534282,CHURROS CRUZ
DR0054,855205,11534282,WOOD & COFFEE
DR0054,855205,11534282,LOS CUESTAS
DR0054,855205,11534282,EL MORDISKITO MONTORNES
DR0054,855205,11534282,BAR CULIBLANCO - CAMPO FUTBOL ATLET
DR0054,855205,11534282,BAR ISLA CRISTINA
DR0054,855205,11534282,GRANJA SANTIAGO
DR0054,855205,11534282,BAR SALON DEPORTIVO
DA0216,855203,11534281,DELS CASTANYERS RESTAURANT
DR0051,855190,11534297,HAPPYLANDIAPARK
DR0051,855190,11534297,ROCK HOUSE
DR0051,855190,11534297,ELS BILLARS VIC
